2025-06-02 14:02:42 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:03:13 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:03:43 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:04:14 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:04:44 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:05:15 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:05:45 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:06:16 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:06:46 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:07:17 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:07:47 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:08:18 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:08:48 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:09:19 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:09:49 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:10:20 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:10:50 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:11:21 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:11:51 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:12:22 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:12:53 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:13:24 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:13:54 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:14:24 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:14:55 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:15:25 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:15:56 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:16:26 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:16:57 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:17:27 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:17:58 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:18:28 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:18:59 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:19:29 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:20:00 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:20:30 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:21:01 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:21:31 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:22:02 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:22:32 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:23:03 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:23:33 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:24:04 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:24:34 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:25:05 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:25:35 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:26:06 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:26:36 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:27:07 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:27:37 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:28:08 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:28:38 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:29:09 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:29:39 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:30:10 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:30:40 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:31:10 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:31:41 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 14:32:11 | bitcoin | Marubozu | 0.90 | $104212.00 | Use discretion. Validate before trading.
2025-06-02 14:32:42 | bitcoin | Marubozu | 0.90 | $104212.00 | Use discretion. Validate before trading.
2025-06-02 18:58:41 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 18:58:41 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 18:58:41 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 18:59:12 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 18:59:12 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 18:59:12 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 18:59:42 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 18:59:42 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 18:59:42 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:00:13 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:00:13 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:00:13 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:00:43 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:00:43 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:00:43 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:01:14 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:01:14 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:01:14 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:01:44 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:01:44 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
